name,team,age,pos,games,gamesStarted,touches,yards,touchdowns,longRush,yardsPerCarry,yardsPerGame,touchPerGame,fumbles
DEANGELO WILLIAMS,PIT,33,RB,2,2,58,237,2,17,4.1,118.5,29.0,0
LAMAR MILLER,HOU,25,RB,2,2,53,189,0,12,3.6,94.5,26.5,1
MATT FORTE,NYJ,31,RB,2,2,52,196,3,14,3.8,98.0,26.0,0
LEGARRETTE BLOUNT,NWE,30,RB,2,2,51,193,2,26,3.8,96.5,25.5,2
EZEKIEL ELLIOTT,DAL,21,RB,2,2,41,134,2,21,3.3,67.0,20.5,2
C.J. ANDERSON,DEN,25,RB,2,2,40,166,2,28,4.2,83.0,20.0,0
MELVIN GORDON,SDG,23,RB,2,1,38,159,3,21,4.2,79.5,19.0,0
CARLOS HYDE,SFO,25,RB,2,2,37,122,2,18,3.3,61.0,18.5,1
TODD GURLEY,LAR,22,RB,2,2,36,98,0,11,2.7,49.0,18.0,0
RASHAD JENNINGS,NYG,31,RB,2,2,31,102,0,17,3.3,51.0,15.5,0
RYAN MATHEWS,PHI,29,RB,2,1,31,109,3,30,3.5,54.5,15.5,0
LESEAN MCCOY,BUF,28,RB,2,2,31,117,1,24,3.8,58.5,15.5,0
ADRIAN PETERSON,MIN,31,RB,2,2,31,50,0,9,1.6,25.0,15.5,0
ISAIAH CROWELL,CLE,23,RB,2,2,30,195,2,85,6.5,97.5,15.0,0
DEVONTA FREEMAN,ATL,24,RB,2,2,28,113,0,18,4.0,56.5,14.0,0
DAVID JOHNSON,ARI,25,RB,2,2,28,134,1,45,4.8,67.0,14.0,0
JEREMY LANGFORD,CHI,25,RB,2,2,28,85,2,16,3.0,42.5,14.0,1
T.J. YELDON,JAX,23,RB,2,2,28,67,1,15,2.4,33.5,14.0,0
FRANK GORE,IND,33,RB,2,2,27,103,0,9,3.8,51.5,13.5,0
EDDIE LACY,GNB,26,RB,2,2,26,111,0,28,4.3,55.5,13.0,0
DOUG MARTIN,TAM,27,RB,2,2,25,85,0,17,3.4,42.5,12.5,0
CHRISTINE MICHAEL,SEA,26,RB,2,1,25,126,0,16,5.0,63.0,12.5,1
DEMARCO MURRAY,TEN,28,RB,2,2,25,131,0,67,5.2,65.5,12.5,1
JUSTIN FORSETT,BAL,31,RB,2,2,24,78,0,11,3.3,39.0,12.0,0
TERRANCE WEST,BAL,25,"",2,0,23,74,0,10,3.2,37.0,11.5,0
LATAVIUS MURRAY,OAK,26,RB,2,2,22,116,2,18,5.3,58.0,11.0,0
MARK INGRAM,NOR,27,RB,2,2,21,88,0,17,4.2,44.0,10.5,0
SPENCER WARE,KAN,25,RB,2,2,21,127,1,25,6.0,63.5,10.5,1
TEVIN COLEMAN,ATL,23,"",2,0,20,68,1,13,3.4,34.0,10.0,0
RK,"
         ","","
         ",Tm,"
         ",Age,"
         ",Pos,"
         ",G,"
         ",GS,Y/G
JEREMY HILL,CIN,24,HB,2,2,20,53,1,12,2.7,26.5,10.0,0
MATT JONES,WAS,23,RB,2,2,20,85,1,14,4.3,42.5,10.0,0
JONATHAN STEWART,CAR,29,RB,2,2,20,73,0,11,3.7,36.5,10.0,0
SHANE VEREEN,NYG,27,"",2,0,20,80,0,10,4.0,40.0,10.0,1
THOMAS RAWLS,SEA,23,RB,2,1,19,25,0,8,1.3,12.5,9.5,0
FOZZY WHITTAKER,CAR,27,"",2,0,19,113,0,25,5.9,56.5,9.5,1
DANNY WOODHEAD,SDG,31,RB,2,1,19,116,0,23,6.1,58.0,9.5,0
AMEER ABDULLAH,DET,23,RB,2,2,18,101,0,24,5.6,50.5,9.0,0
THEO RIDDICK,DET,25,"",2,0,18,82,1,21,4.6,41.0,9.0,0
CHRIS JOHNSON,ARI,31,"",2,0,17,56,1,9,3.3,28.0,8.5,0
CAM NEWTON,CAR,27,QB,2,2,17,91,1,16,5.4,45.5,8.5,1
DARREN SPROLES,PHI,33,RB,2,1,17,52,0,14,3.1,26.0,8.5,0
SHAUN DRAUGHN,SFO,29,"",2,0,16,39,1,18,2.4,19.5,8.0,1
ARIAN FOSTER,MIA,30,RB,2,2,16,47,0,9,2.9,23.5,8.0,1
DERRICK HENRY,TEN,22,RB,2,1,14,43,0,9,3.1,21.5,7.0,0
CHARLES SIMS,TAM,26,"",2,0,13,33,0,9,2.5,16.5,6.5,0
DEVONTAE BOOKER,DEN,24,"",2,0,12,54,0,12,4.5,27.0,6.0,1
BLAINE GABBERT,SFO,27,QB,2,2,12,53,1,11,4.4,26.5,6.0,0
ALFRED MORRIS,DAL,28,"",2,0,12,42,1,13,3.5,21.0,6.0,0
DEANDRE WASHINGTON,OAK,23,"",2,0,12,60,0,26,5.0,30.0,6.0,0
JAMES STARKS,GNB,30,"",2,0,11,10,0,5,0.9,5.0,5.5,0
RYAN TANNEHILL,MIA,28,QB,2,2,11,52,1,17,4.7,26.0,5.5,2
MIKE TOLBERT,CAR,31,"",2,0,11,31,0,6,2.8,15.5,5.5,0
MATT ASIATA,MIN,29,"",2,0,10,27,0,12,2.7,13.5,5.0,0
GIOVANI BERNARD,CIN,25,"",2,0,10,42,0,11,4.2,21.0,5.0,1
RYAN FITZPATRICK,NYJ,34,QB,2,2,9,36,0,10,4.0,18.0,4.5,2
JALEN RICHARD,OAK,23,"",2,0,9,101,1,75,11.2,50.5,4.5,0
CHARCANDRICK WEST,KAN,25,"",2,0,9,60,0,28,6.7,30.0,4.5,0
RUSSELL WILSON,SEA,28,QB,2,2,9,30,0,9,3.3,15.0,4.5,2
CARSON WENTZ,PHI,24,QB,2,2,8,11,0,7,1.4,5.5,4.0,2
RK,"
         ","","
         ",Tm,"
         ",Age,"
         ",Pos,"
         ",G,"
         ",GS,Y/G
TIM HIGHTOWER,NOR,30,"",2,0,7,18,0,6,2.6,9.0,3.5,0
AARON RODGERS,GNB,33,QB,2,2,7,45,2,10,6.4,22.5,3.5,3
TYROD TAYLOR,BUF,27,QB,2,2,7,36,0,15,5.1,18.0,3.5,0
JAMEIS WINSTON,TAM,22,QB,2,2,7,12,0,8,1.7,6.0,3.5,1
KENJON BARNER,PHI,27,"",2,0,6,44,0,19,7.3,22.0,3.0,0
ALFRED BLUE,HOU,25,"",2,0,6,15,0,4,2.5,7.5,3.0,0
DUKE JOHNSON,CLE,23,"",2,0,6,34,0,17,5.7,17.0,3.0,0
CASE KEENUM,LAR,28,QB,2,2,6,15,0,7,2.5,7.5,3.0,0
ANDREW LUCK,IND,27,QB,2,2,6,43,0,21,7.2,21.5,3.0,1
MARCUS MARIOTA,TEN,23,QB,2,2,6,30,0,10,5.0,15.0,3.0,1
BROCK OSWEILER,HOU,26,QB,2,2,6,11,0,15,1.8,5.5,3.0,0
TREVOR SIEMIAN,DEN,24,QB,2,2,6,27,0,11,4.5,13.5,3.0,0
ALEX SMITH,KAN,32,QB,2,2,6,17,1,7,2.8,8.5,3.0,2
CHRIS THOMPSON,WAS,26,"",2,0,6,24,1,9,4.0,12.0,3.0,0
DWAYNE WASHINGTON,DET,22,"",2,0,6,32,1,28,5.3,16.0,3.0,0
JAY AJAYI,MIA,23,"",1,0,5,14,0,8,2.8,14.0,5.0,1
BLAKE BORTLES,JAX,24,QB,2,2,5,36,0,24,7.2,18.0,2.5,1
ANDY DALTON,CIN,29,QB,2,2,5,14,0,5,2.8,7.0,2.5,0
JOE FLACCO,BAL,31,QB,2,2,5,-2,0,1,-0.4,-1.0,2.5,1
ROBERT GRIFFIN,CLE,26,QB,1,1,5,37,0,20,7.4,37.0,5.0,1
BILAL POWELL,NYJ,28,"",2,0,5,43,0,16,8.6,21.5,2.5,0
JAMES WHITE,NWE,24,"",2,0,5,23,0,16,4.6,11.5,2.5,0
JACOBY BRISSETT,NWE,24,"",1,0,4,12,0,10,3.0,12.0,4.0,1
DEREK CARR,OAK,25,QB,2,2,4,26,0,11,6.5,13.0,2.0,0
RANDALL COBB,GNB,26,WR,2,2,4,12,0,6,3.0,6.0,2.0,0
KENNETH FARROW,SDG,23,"",1,0,4,13,0,4,3.3,13.0,4.0,0
JIMMY GAROPPOLO,NWE,25,QB,2,2,4,12,0,10,3.0,6.0,2.0,2
ELI MANNING,NYG,35,QB,2,2,4,-4,0,-1,-1.0,-2.0,2.0,2
DENARD ROBINSON,JAX,26,"",2,0,4,14,0,7,3.5,7.0,2.0,0
MATTHEW STAFFORD,DET,28,QB,2,2,4,36,0,24,9.0,18.0,2.0,0
RK,"
         ","","
         ",Tm,"
         ",Age,"
         ",Pos,"
         ",G,"
         ",GS,Y/G
FITZGERALD TOUSSAINT,PIT,26,"",2,0,4,10,0,7,2.5,5.0,2.0,0
ROBERT TURBIN,IND,27,"",2,0,4,14,1,5,3.5,7.0,2.0,0
TAVON AUSTIN,LAR,25,WR,2,2,3,8,0,8,2.7,4.0,1.5,0
REGGIE BUSH,BUF,31,"",2,0,3,-4,0,5,-1.3,-2.0,1.5,0
KA'DEEM CAREY,CHI,24,"",2,0,3,7,0,4,2.3,3.5,1.5,0
KIRK COUSINS,WAS,28,QB,2,2,3,28,0,10,9.3,14.0,1.5,0
MIKE DAVIS,SFO,23,"",2,0,3,1,0,2,0.3,0.5,1.5,0
LANCE DUNBAR,DAL,26,"",2,0,3,6,0,4,2.0,3.0,1.5,0
JULIAN EDELMAN,NWE,30,WR,2,2,3,16,0,9,5.3,8.0,1.5,0
JOSH FERGUSON,IND,23,"",2,0,3,5,0,6,1.7,2.5,1.5,0
JORDAN HOWARD,CHI,22,"",1,0,3,22,0,10,7.3,22.0,3.0,0
JOHN KUHN,NOR,34,"",2,0,3,6,0,2,2.0,3.0,1.5,0
JERICK MCKINNON,MIN,24,"",2,0,3,8,0,6,2.7,4.0,1.5,0
DAK PRESCOTT,DAL,23,QB,2,2,3,18,1,11,6.0,9.0,1.5,0
PHILIP RIVERS,SDG,35,QB,2,2,3,19,0,10,6.3,9.5,1.5,1
MATT RYAN,ATL,31,QB,2,2,3,10,0,8,3.3,5.0,1.5,0
WENDELL SMALLWOOD,PHI,22,"",2,0,3,17,0,11,5.7,8.5,1.5,0
DREW BREES,NOR,37,QB,2,2,2,5,0,4,2.5,2.5,1.0,1
KELLEN CLEMENS,SDG,33,"",1,0,2,-1,0,0,-0.5,-1.0,2.0,0
ALEX COLLINS,SEA,22,"",1,0,2,0,0,0,0.0,0.0,2.0,0
BENNY CUNNINGHAM,LAR,26,"",2,0,2,3,0,2,1.5,1.5,1.0,0
JAY CUTLER,CHI,33,QB,2,2,2,12,0,12,6.0,6.0,1.0,3
KENYAN DRAKE,MIA,22,"",2,0,2,12,1,7,6.0,6.0,1.0,0
TED GINN,CAR,31,"",2,0,2,25,0,20,12.5,12.5,1.0,1
SHAUN HILL,MIN,36,QB,1,1,2,8,0,9,4.0,8.0,2.0,0
EJ MANUEL,BUF,26,"",1,0,2,2,0,2,1.0,2.0,2.0,1
JOSH MCCOWN,CLE,37,QB,1,1,2,0,0,0,0.0,0.0,2.0,1
JAMIZE OLAWALE,OAK,27,FB,2,2,2,13,1,11,6.5,6.5,1.0,0
CARSON PALMER,ARI,37,QB,2,2,2,1,0,1,0.5,0.5,1.0,1
CORDARRELLE PATTERSON,MIN,25,"",2,0,2,6,0,8,3.0,3.0,1.0,0
RK,"
         ","","
         ",Tm,"
         ",Age,"
         ",Pos,"
         ",G,"
         ",GS,Y/G
JACQUIZZ RODGERS,TAM,26,"",1,0,2,29,0,24,14.5,29.0,2.0,0
BEN ROETHLISBERGER,PIT,34,QB,2,2,2,12,0,14,6.0,6.0,1.0,2
DAMIEN WILLIAMS,MIA,24,"",1,0,2,9,0,5,4.5,9.0,2.0,0
JAMES WRIGHT,CIN,25,"",2,0,2,-6,0,2,-3.0,-3.0,1.0,0
TRAVIS BENJAMIN,SDG,27,WR,2,2,1,-1,0,-1,-1.0,-0.5,0.5,0
KAPRI BIBBS,DEN,23,"",2,0,1,7,0,7,7.0,3.5,0.5,0
BRANDON BOLDEN,NWE,26,"",2,0,1,4,0,4,4.0,2.0,0.5,0
SAM BRADFORD,MIN,29,QB,1,1,1,-3,0,-3,-3.0,-3.0,1.0,0
MALCOLM BROWN,LAR,"","",2,0,1,5,0,5,5.0,2.5,0.5,0
TRAVARIS CADET,NOR,27,"",2,0,1,1,0,1,1.0,0.5,0.5,0
MATT CASSEL,TEN,34,"",1,0,1,-1,0,-1,-1.0,-1.0,1.0,0
SAMMIE COATES,PIT,23,WR,2,2,1,6,0,6,6.0,3.0,0.5,0
BRANDIN COOKS,NOR,23,WR,2,1,1,11,0,11,11.0,5.5,0.5,0
ORLEANS DARKWA,NYG,24,"",2,0,1,-1,0,-1,-1.0,-0.5,0.5,0
STEFON DIGGS,MIN,23,WR,2,2,1,-1,0,-1,-1.0,-0.5,0.5,0
ANDRE ELLINGTON,ARI,27,"",2,0,1,2,0,2,2.0,1.0,0.5,0
TYLER ERVIN,HOU,23,"",2,0,1,3,0,3,3.0,1.5,0.5,0
D.J. FOSTER,NWE,23,"",1,0,1,7,0,7,7.0,7.0,1.0,0
JONATHAN GRIMES,HOU,27,"",2,0,1,8,0,8,8.0,4.0,0.5,0
ANDREW HAWKINS,CLE,30,"",2,0,1,-1,0,-1,-1.0,-0.5,0.5,0
TYREEK HILL,KAN,22,"",2,0,1,-1,0,-1,-1.0,-0.5,0.5,0
JOHNNY HOLTON,OAK,25,"",2,0,1,14,0,14,14.0,7.0,0.5,0
JOSH HUFF,PHI,25,WR,2,1,1,0,0,0,0.0,0.0,0.5,0
ADAM HUMPHRIES,TAM,23,WR,2,2,1,7,0,7,7.0,3.5,0.5,0
ANDY JANOVICH,DEN,23,"",2,0,1,28,1,28,28.0,14.0,0.5,0
TAIWAN JONES,OAK,28,"",2,0,1,-8,0,-8,-8.0,-4.0,0.5,0
KYLE JUSZCZYK,BAL,25,FB,2,1,1,2,0,2,2.0,1.0,0.5,0
PAUL LASIKE,CHI,26,FB,2,1,1,2,0,2,2.0,1.0,0.5,0
JEREMY MACLIN,KAN,28,WR,2,2,1,-1,0,-1,-1.0,-0.5,0.5,0
BRAXTON MILLER,HOU,24,WR,2,2,1,-2,0,-2,-2.0,-1.0,0.5,0
RK,"
         ","","
         ",Tm,"
         ",Age,"
         ",Pos,"
         ",G,"
         ",GS,Y/G
JAY PROSCH,HOU,24,"",2,0,1,2,0,2,2.0,1.0,0.5,0
C.J. PROSISE,SEA,22,"",1,0,1,-2,0,-2,-2.0,-2.0,1.0,0
DARYL RICHARDSON,PIT,26,"",2,0,1,6,0,6,6.0,3.0,0.5,0
RUSSELL SHEPARD,TAM,26,"",2,0,1,9,0,9,9.0,4.5,0.5,0
KEITH SMITH,DAL,24,"",2,0,1,3,0,3,3.0,1.5,0.5,0
GOLDEN TATE,DET,28,WR,2,2,1,2,0,2,2.0,1.0,0.5,0
MIKE WALLACE,BAL,30,WR,2,2,1,11,0,11,11.0,5.5,0.5,0
KEVIN WHITE,CHI,24,WR,2,2,1,9,0,9,9.0,4.5,0.5,0
